Annex1,1374926400000,17,17,15,16,15,15,15,15,16,15,15,15,15,15,16,15,15,16,16,15,14,12,12,12,12,12,12,12,10,11,12,12,12,14,15,16,17,18,18,18,18,18,17,17,18,19,19,19,21,21,20,20,21,22,22,20,19,19,19,16
Conf1,1374908400000,0,0,0,2,4,8,13,16,18,22,21,19,19,19,19,18,19,19,21,20,20,20,22,22,22,22,21,22,23,22,22,20,19,20,19,18,19,19,18,15,14,14,12,13,12,12,12,12,12,11,11,10,10,9,9,11,13,13,12,12
Conf2,1374915600000,12,12,14,13,10,8,9,9,12,13,13,13,11,12,12,14,14,14,15,14,15,15,15,14,14,14,13,14,13,12,13,12,12,13,12,12,12,12,12,11,10,9,11,14,13,12,11,11,10,12,14,15,16,16,17,18,18,18,20,21
Cafetaria,1374930000000,10,10,11,14,14,14,14,14,13,12,14,13,13,13,13,12,12,12,13,16,16,17,17,19,18,18,20,23,22,20,20,18,17,16,16,15,16,18,19,19,19,19,15,15,15,15,16,16,16,16,16,14,14,14,14,16,16,16,15,15
Conf1,1374930000000,16,17,17,18,17,17,17,18,17,16,16,16,13,13,12,12,13,14,16,16,14,14,13,13,15,15,15,16,16,16,16,16,16,16,15,16,17,15,16,16,16,16,17,16,16,16,14,15,16,17,15,16,16,15,15,16,16,16,16,17
Conf2,1374930000000,12,11,13,13,13,14,14,13,13,15,15,14,14,13,13,13,16,16,16,16,17,17,17,19,17,17,17,18,18,18,20,20,20,19,19,20,20,20,20,19,20,19,19,19,18,18,18,19,19,19,19,19,19,19,19,19,17,19,19,18
Hall,1374919200000,13,12,13,12,11,14,13,14,13,14,15,14,14,16,16,16,16,17,19,19,19,17,19,21,21,23,24,23,24,24,24,23,22,22,21,21,21,22,21,20,19,18,17,19,18,18,19,20,20,20,21,22,21,21,21,21,22,22,18,19
Conf2,1374937200000,17,17,19,19,18,17,15,15,16,16,16,15,15,13,13,13,11,11,10,9,9,9,9,9,9,8,7,6,6,5,4,4,4,4,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hall,1374926400000,17,17,12,12,13,14,15,15,16,16,16,15,15,12,11,10,11,12,10,12,12,10,10,10,15,13,12,11,8,9,8,9,8,8,7,8,8,10,10,12,12,13,15,15,16,16,16,15,14,14,14,15,17,17,17,17,15,16,15,14
Lounge,1374908400000,0,0,0,3,4,5,7,9,12,15,15,15,15,15,16,16,15,15,15,15,14,13,13,13,13,13,11,11,10,10,11,11,12,11,11,11,12,11,12,13,13,14,14,15,14,14,14,13,12,12,10,9,9,8,10,11,13,12,11,10
Lounge,1374930000000,23,23,21,23,23,21,20,20,20,20,19,17,16,17,14,13,13,14,15,15,14,13,13,13,11,12,11,10,10,10,11,12,12,11,13,11,13,12,12,12,13,13,12,13,11,14,16,15,16,16,16,17,17,16,14,13,14,15,13,13
Conf2,1374933600000,21,20,17,17,15,16,14,14,16,16,18,18,19,19,20,20,22,20,21,22,23,23,22,21,21,20,20,20,20,17,15,16,16,15,16,17,17,17,14,14,13,12,12,14,13,16,17,20,20,19,18,16,15,16,17,19,19,18,19,19
Lounge,1374933600000,12,13,13,13,14,13,14,13,13,14,15,16,17,18,18,18,18,18,19,19,18,19,19,19,17,17,17,17,17,17,16,15,14,13,18,18,18,18,17,18,19,19,18,18,19,20,18,18,18,17,17,18,16,17,19,18,19,19,19,19
Hall,1374930000000,14,14,16,17,17,15,16,17,16,16,17,17,18,18,18,17,16,15,15,16,14,13,14,13,12,12,12,14,14,14,13,12,14,15,17,17,18,18,18,18,18,19,21,20,21,21,19,18,18,17,16,17,18,17,16,16,17,16,16,17
Annex1,1374937200000,22,22,23,24,21,20,19,17,17,17,16,15,15,15,14,14,13,13,12,12,12,11,11,10,9,9,8,7,6,6,5,5,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lounge,1374912000000,10,10,11,11,12,11,13,13,13,12,13,13,12,13,13,13,11,13,13,13,13,15,15,15,15,14,14,12,11,11,12,12,12,12,12,12,11,12,13,13,14,14,14,16,16,16,15,15,14,15,15,15,16,17,16,15,14,16,16,16
Conf1,1374926400000,6,5,4,4,6,5,5,5,5,5,5,5,7,7,6,6,4,4,4,5,5,5,5,6,6,6,10,10,10,12,13,14,14,14,16,17,17,17,18,18,18,19,20,20,20,21,20,21,21,20,19,18,18,18,18,17,17,17,18,17
Conf2,1374922800000,18,18,18,18,19,18,19,19,19,19,19,18,18,17,17,19,17,19,19,18,17,17,18,17,16,15,14,14,15,16,16,15,16,17,19,20,20,21,21,21,22,23,23,24,23,24,23,25,24,24,26,26,26,26,25,26,26,27,27,23
Hall,1374912000000,17,17,21,22,21,22,21,21,22,22,22,21,22,22,24,21,20,19,19,21,20,20,19,20,22,21,24,23,22,25,25,23,22,20,19,22,23,22,23,24,21,22,22,22,22,19,20,18,19,19,19,20,20,20,21,21,19,19,20,20
Annex1,1374908400000,0,0,0,5,7,11,13,14,16,17,17,16,16,14,12,13,13,12,12,13,14,15,15,15,15,15,14,14,14,16,15,15,16,15,17,18,16,17,16,13,13,14,11,11,12,13,13,11,12,13,13,15,15,13,12,15,15,16,17,17
Annex1,1374922800000,19,20,20,20,19,19,19,18,17,16,16,16,17,15,16,16,16,16,14,15,15,13,13,14,13,12,12,12,12,11,11,12,14,14,13,14,11,13,12,13,14,13,12,12,15,16,16,14,15,15,15,15,16,16,15,15,15,14,16,17
Cafetaria,1374908400000,0,0,0,5,8,10,12,17,21,23,24,23,22,22,20,21,21,22,22,23,22,21,21,20,19,18,19,19,19,17,17,18,17,17,17,17,17,16,18,18,18,17,19,19,19,18,17,17,18,18,18,20,20,20,20,20,21,23,22,21
Cafetaria,1374937200000,14,15,15,16,14,13,14,13,14,14,14,13,13,13,13,13,10,10,9,8,8,6,6,6,5,5,5,5,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Conf1,1374937200000,20,21,20,20,20,19,19,19,17,15,13,13,12,9,9,8,8,8,8,8,7,7,7,7,6,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cafetaria,1374933600000,16,14,14,13,12,13,13,13,13,11,11,11,9,9,12,13,12,12,12,11,11,13,13,15,16,16,17,17,17,17,16,15,16,16,18,18,17,17,15,14,14,15,16,16,17,17,17,16,14,16,14,14,14,13,13,16,16,14,14,15
Cafetaria,1374915600000,11,10,9,8,8,8,9,10,10,10,11,11,11,11,11,11,10,10,11,11,12,11,13,13,13,13,12,12,11,10,10,10,10,10,9,11,13,12,12,14,13,12,12,13,13,12,11,12,14,13,12,12,11,10,10,6,8,10,10,10
Conf1,1374915600000,17,16,16,15,14,13,17,17,18,21,21,21,21,20,20,21,20,18,19,20,17,20,20,22,24,22,23,22,22,22,21,20,19,18,18,17,17,18,16,13,11,11,11,11,12,12,11,9,10,9,9,11,12,12,13,15,15,13,13,13
Conf2,1374926400000,23,21,20,19,20,23,24,25,22,23,23,22,22,21,20,24,24,24,24,23,22,22,23,20,18,19,18,19,19,17,18,18,18,19,20,19,18,20,19,18,18,17,16,16,17,17,15,16,15,14,14,14,12,13,13,13,12,11,12,12
Conf2,1374912000000,22,24,25,24,25,26,25,25,25,24,22,19,20,21,19,19,18,17,17,17,17,18,17,16,15,15,14,13,12,13,11,11,11,11,12,12,13,13,13,14,14,13,11,10,9,8,9,9,10,10,9,11,12,11,12,13,13,13,12,12
Lounge,1374915600000,15,16,17,17,18,18,20,20,20,20,20,20,19,17,16,17,15,15,15,16,16,16,16,16,16,16,17,17,17,16,16,16,16,16,15,16,18,19,20,19,20,19,19,18,20,20,20,22,21,19,16,17,17,18,19,18,19,19,19,19
Conf1,1374922800000,16,15,15,13,13,14,12,11,10,10,10,8,10,10,10,10,12,14,14,14,16,15,16,14,14,15,15,16,15,15,15,16,15,16,15,14,14,14,13,13,11,10,11,10,12,11,12,11,11,11,11,11,10,9,8,8,9,8,7,7
Conf2,1374908400000,0,0,0,3,5,6,11,13,18,22,22,21,21,21,21,22,22,22,22,23,24,23,21,22,24,23,24,23,23,22,23,23,23,20,20,20,20,21,22,22,21,24,27,23,22,22,22,21,21,20,21,21,18,18,17,17,17,19,19,21
Lounge,1374919200000,19,18,18,19,19,20,18,17,16,13,13,13,12,13,13,14,14,16,15,14,13,13,13,14,14,13,10,11,12,13,15,15,15,15,15,14,15,16,16,14,15,16,17,17,17,15,15,14,14,14,14,13,12,13,12,12,10,11,10,9
Hall,1374915600000,18,19,18,17,17,18,17,18,19,18,17,17,17,17,17,17,17,16,19,19,18,18,17,17,16,16,17,16,18,18,20,22,23,21,24,23,23,21,20,20,21,22,21,20,19,20,21,24,22,21,20,18,18,16,17,18,17,12,13,14
Conf1,1374933600000,17,17,19,20,20,19,22,20,19,18,18,18,17,16,15,16,14,14,14,11,10,10,10,11,11,13,15,15,12,14,14,15,15,15,15,14,14,14,15,16,15,14,13,13,15,17,17,17,15,17,17,17,15,15,15,16,17,16,16,18
Conf2,1374919200000,22,22,23,24,23,23,22,23,22,23,22,24,22,20,22,20,20,22,21,20,21,21,20,20,20,19,19,18,18,17,17,17,18,19,19,17,16,14,14,15,15,16,16,17,18,16,16,17,17,15,17,17,17,16,18,18,18,20,18,19
Annex1,1374930000000,20,18,17,18,18,18,18,18,18,21,21,24,25,23,23,21,23,25,24,24,24,23,23,21,21,22,23,22,22,20,18,18,18,18,19,19,17,17,19,17,18,19,17,17,17,16,15,14,15,16,15,16,16,16,14,15,15,17,17,17
Hall,1374922800000,17,17,18,17,16,18,17,17,17,16,16,16,15,14,13,12,13,14,14,14,15,15,15,17,17,17,17,17,17,16,14,14,16,17,17,18,17,16,16,17,16,16,15,14,15,15,16,15,15,19,19,18,16,17,16,17,17,16,16,17
Cafetaria,1374922800000,13,14,15,16,17,16,18,18,16,17,16,17,17,17,17,18,19,18,20,21,22,23,23,23,21,21,20,18,19,19,18,17,15,15,15,15,15,14,13,13,13,13,13,12,12,13,13,13,12,9,9,8,9,8,8,11,12,11,11,10
Annex1,1374915600000,25,25,25,24,24,23,23,21,21,23,23,22,22,21,22,22,21,20,18,17,19,20,21,21,21,20,19,21,19,19,21,18,17,16,17,17,16,17,18,18,19,20,18,19,18,20,20,20,22,20,21,21,20,19,18,19,19,20,20,19
Hall,1374908400000,0,0,0,5,9,9,13,15,17,18,18,18,18,18,17,15,15,15,13,13,13,12,13,14,12,11,11,12,12,14,15,15,15,15,15,15,16,14,11,12,12,14,17,18,17,17,17,15,15,13,14,14,15,16,16,17,16,16,16,16
Lounge,1374922800000,10,10,10,12,12,15,15,18,19,18,19,18,18,17,17,19,19,19,21,21,20,19,19,17,16,17,18,20,20,21,21,22,24,24,24,23,22,21,21,21,20,21,20,21,20,20,20,22,20,19,19,19,19,20,23,24,23,22,23,23
Hall,1374937200000,9,8,8,8,9,9,9,9,9,10,9,8,8,8,7,7,6,5,5,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conf1,1374912000000,11,11,11,13,12,12,12,13,13,12,12,14,13,12,12,12,12,10,10,12,13,14,14,14,15,13,12,10,10,10,10,9,10,12,11,10,10,11,13,13,13,14,14,14,16,17,17,18,20,19,18,19,21,20,19,19,17,17,17,18
Lounge,1374926400000,22,21,20,20,22,26,25,26,26,24,24,23,22,22,20,20,18,18,17,17,18,15,15,14,13,13,14,13,12,15,14,15,15,16,17,18,18,18,18,17,17,18,19,18,21,22,21,21,22,23,24,24,22,23,23,23,22,24,24,24
Lounge,1374937200000,20,20,21,20,20,19,20,19,18,18,17,17,15,15,14,14,14,11,10,9,8,8,8,7,7,7,5,5,5,4,4,4,4,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annex1,1374919200000,18,18,17,17,16,16,16,19,20,17,17,17,18,18,18,18,18,19,19,18,17,19,20,18,18,17,17,20,20,19,19,18,18,17,19,18,18,17,16,17,18,18,18,16,19,19,20,19,19,21,21,22,21,20,22,22,23,22,20,20
Annex1,1374933600000,18,18,19,19,20,21,20,19,20,22,22,22,22,20,19,19,21,22,22,21,22,19,18,18,18,16,17,17,16,16,16,19,19,18,17,19,19,19,17,19,20,19,17,18,20,19,20,18,19,21,21,20,20,20,22,22,22,23,22,23
Cafetaria,1374919200000,11,12,12,12,11,13,12,14,14,14,13,12,13,12,12,14,15,15,15,13,13,14,14,13,13,12,12,13,14,14,14,13,13,13,12,11,12,10,10,9,11,10,10,12,11,11,11,13,14,15,15,14,13,14,13,13,13,13,12,13
Hall,1374933600000,18,18,17,16,16,15,14,15,17,16,16,16,15,16,16,16,15,14,14,15,15,15,13,15,15,15,15,16,16,15,16,17,16,16,13,10,11,11,12,13,12,10,11,11,12,11,11,10,10,9,9,9,10,9,11,9,9,8,8,8
Cafetaria,1374912000000,20,20,19,19,19,19,17,17,18,19,19,18,19,21,23,21,21,21,21,20,20,19,18,17,21,19,19,20,20,20,22,24,21,22,21,18,18,18,17,16,16,16,17,19,18,18,18,17,14,12,12,13,14,14,13,14,14,14,14,13
Cafetaria,1374926400000,11,12,12,12,13,15,15,14,17,18,18,19,20,22,22,22,21,22,23,25,25,25,28,28,33,32,31,31,29,28,27,27,25,22,22,21,20,19,19,19,17,17,16,16,15,15,16,15,14,13,13,12,11,10,9,11,10,9,11,10
Annex1,1374912000000,15,13,13,13,13,13,13,14,16,16,15,15,15,15,14,14,14,14,13,12,11,16,14,17,17,17,17,17,18,18,17,16,17,18,17,17,17,17,17,16,15,16,17,18,18,21,21,24,23,22,22,22,23,24,22,22,24,24,24,25
Conf1,1374919200000,14,16,17,16,17,16,17,16,16,15,14,14,14,15,15,15,16,16,15,15,15,16,16,12,14,12,13,12,13,15,14,13,12,12,12,14,12,12,11,11,13,15,16,15,14,13,13,13,13,13,13,14,15,15,16,17,16,16,16,16
